# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Amillepora.proteins.fa --output Amillepora_euk -d euk --usemem --cpu 60
# time: Tue Oct  2 21:05:37 2018
#query_name	eggNOG annot
Amillepora17091	The glycine cleavage system catalyzes the degradation of glycine (By similarity)
Amillepora17083	Inherit from opiNOG: to reverse transcriptase
Amillepora17081	WD repeat domain 49
Amillepora17089	NOP2 Sun domain family member
Amillepora17090	Inhibitor of growth family member
Amillepora17085	small integral membrane protein 4
Amillepora17100	Inherit from COG: Lysine 2,3-aminomutase YodO family protein
Amillepora17101	Inherit from COG: Lysine 2,3-aminomutase YodO family protein
Amillepora17096	NA
Amillepora17095	Dynamin 1-like
Amillepora17097	Solute carrier family 35
Amillepora17106	Solute carrier family 35
Amillepora17110	PR domain containing 6
Amillepora17103	Solute carrier family 32 (GABA vesicular transporter), member 1
Amillepora17105	Solute carrier family 35
Amillepora17102	Cyclin-Dependent Kinase
Amillepora17114	whole genome shotgun sequence
Amillepora17113	protein Hydra magnipapillata
Amillepora17112	protein Hydra magnipapillata
Amillepora17120	Inherit from KOG: transposon protein
Amillepora17133	protein Hydra magnipapillata
Amillepora17130	protein Hydra magnipapillata
Amillepora17129	protein Hydra magnipapillata
Amillepora17131	protein Hydra magnipapillata
Amillepora17127	protein Hydra magnipapillata
Amillepora17124	protein Hydra magnipapillata
Amillepora17123	protein Hydra magnipapillata
Amillepora17122	protein Hydra magnipapillata
Amillepora17128	protein Hydra magnipapillata
Amillepora17132	protein Hydra magnipapillata
Amillepora17139	protein Hydra magnipapillata
Amillepora17135	protein Hydra magnipapillata
Amillepora17140	Solute carrier family 3 (Cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1
Amillepora17137	protein Hydra magnipapillata
Amillepora17146	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)
Amillepora17144	galactosylceramide sulfotransferase-like
Amillepora17143	chromosome 3 open reading frame 20
Amillepora17141	Meprin A
Amillepora17142	leucine-rich repeats and guanylate kinase domain containing
Amillepora17147	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
Amillepora17153	p38 map kinase
Amillepora17150	Milk fat globule-EGF factor 8 protein
Amillepora17159	Exonuclease 3'-5' domain containing 2
Amillepora17158	Exonuclease 3'-5' domain containing 2
Amillepora17186	NA
Amillepora17162	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17188	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17189	NA
Amillepora17197	Inherit from opiNOG: to reverse transcriptase
Amillepora17190	NA
Amillepora17198	NA
Amillepora17192	NA
Amillepora17200	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17199	Inherit from KOG: Growth factor receptor
Amillepora17207	NA
Amillepora17203	NLR family, CARD domain containing 3
Amillepora17209	NA
Amillepora17210	NA
Amillepora17211	NA
Amillepora17208	DNA/RNA non-specific endonuclease
Amillepora17212	neuronal growth regulator 1
Amillepora17218	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17219	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17217	NA
Amillepora17225	Pao retrotransposon peptidase 
Amillepora17228	NA
Amillepora17224	Inherit from euNOG: solute carrier family 17
Amillepora17234	Inherit from KOG: transposon protein
Amillepora17233	Transposable element Tc3 transposase
Amillepora17231	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17229	Inherit from KOG: Growth factor receptor
Amillepora17230	ZnF_C2H2
Amillepora17235	Inherit from KOG: Growth factor receptor
Amillepora17241	piggyBac transposable element derived 4
Amillepora17237	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17242	NA
Amillepora17250	Inherit from opiNOG: to reverse transcriptase
Amillepora17254	NA
Amillepora17252	NA
Amillepora17261	YqaJ-like viral recombinase domain
Amillepora17259	NA
Amillepora17260	NA
Amillepora17262	DNA helicase
Amillepora17263	protein Hydra magnipapillata
Amillepora17270	Glyoxalase I
Amillepora17278	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
Amillepora17273	Transmembrane protease serine 6
Amillepora17276	integrase core domain protein
Amillepora17275	NA
Amillepora17280	NA
Amillepora17281	NA
Amillepora17288	Inherit from euNOG: solute carrier family 17
Amillepora17287	NA
Amillepora17293	SCAN domain
Amillepora17295	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8
Amillepora17294	Integrase core domain
Amillepora17301	NA
Amillepora17311	piggyBac transposable element derived 4
Amillepora17316	NA
Amillepora17319	Carboxypeptidase
Amillepora17313	Conserved hypothetical protein
Amillepora17320	Inherit from KOG: Retrotransposon protein
Amillepora17322	multicellular organismal development
Amillepora17323	Pao retrotransposon peptidase 
Amillepora17325	Inherit from KOG: Cytochrome p450
Amillepora17333	NA
Amillepora17330	Inherit from KOG: Growth factor receptor
Amillepora17334	NA
Amillepora17340	NA
Amillepora17341	Inherit from euNOG: solute carrier family 17
Amillepora17342	Inherit from euNOG: solute carrier family 17
Amillepora17366	NA
Amillepora17363	Inherit from opiNOG: to reverse transcriptase
Amillepora17362	NA
Amillepora17373	YqaJ-like viral recombinase domain
Amillepora17370	Hydra magnipapillata
Amillepora17369	Hydra magnipapillata
Amillepora17374	protein Hydra magnipapillata
Amillepora17378	Inherit from opiNOG: to reverse transcriptase
Amillepora17379	YqaJ-like viral recombinase domain
Amillepora17383	NA
Amillepora17387	protein Hydra magnipapillata
Amillepora17392	NA
Amillepora17393	NA
Amillepora17395	Inherit from KOG: Retrotransposon protein
Amillepora17400	Inherit from KOG: Growth factor receptor
Amillepora17402	Inherit from euNOG: solute carrier family 17
Amillepora17396	Inherit from opiNOG: to reverse transcriptase
Amillepora17403	Inherit from euNOG: Retrotransposon protein
Amillepora17399	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17398	Inherit from opiNOG: to reverse transcriptase
Amillepora17401	NA
Amillepora17405	protein Hydra magnipapillata
Amillepora17463	Inherit from euNOG: solute carrier family 17
Amillepora17418	Pao retrotransposon peptidase 
Amillepora17472	NA
Amillepora17419	NA
Amillepora17483	Inherit from euNOG: Retrotransposon protein
Amillepora17482	Inherit from euNOG: solute carrier family 17
Amillepora17477	NA
Amillepora17478	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17499	NA
Amillepora17498	to transposase domain-containing protein
Amillepora17493	Endonuclease/Exonuclease/phosphatase family
Amillepora17504	F-box and leucine-rich repeat protein 5
Amillepora17506	Transcription factor Pcc1
Amillepora17505	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase
Amillepora17507	glucose-6-phosphate 1-dehydrogenase
Amillepora17500	tetratricopeptide repeat domain
Amillepora17577	NA
Amillepora17587	NA
Amillepora17590	NA
Amillepora17606	Inherit from COG: Retrotransposon protein
Amillepora17602	NA
Amillepora17603	Inherit from euNOG: Retrotransposon protein
Amillepora17610	Pao retrotransposon peptidase 
Amillepora17616	NA
Amillepora17612	NA
Amillepora17690	NA
Amillepora17695	Inherit from KOG: Retrotransposon protein
Amillepora17702	Inherit from KOG: Growth factor receptor
Amillepora17696	NA
Amillepora17697	Hydra magnipapillata
Amillepora17706	Inherit from KOG: Growth factor receptor
Amillepora17714	NA
Amillepora17711	guanine nucleotide binding protein-like 3
Amillepora17715	Neuronal pentraxin
Amillepora17725	NA
Amillepora17723	ubiquitin carboxyl-terminal hydrolase
Amillepora17721	NA
Amillepora17726	Inherit from euNOG: Retrotransposon protein
Amillepora17724	NA
Amillepora17720	protein Hydra magnipapillata
Amillepora17727	Dihydroxy-acid dehydratase
Amillepora17731	Inherit from KOG: Growth factor receptor
Amillepora17729	Inherit from KOG: Growth factor receptor
Amillepora17745	Pao retrotransposon peptidase 
Amillepora17743	Inherit from KOG: Growth factor receptor
Amillepora17738	NA
Amillepora17742	NA
Amillepora17746	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17740	NA
Amillepora17739	NA
Amillepora17744	Reverse transcriptase
Amillepora17753	NA
Amillepora17754	NA
Amillepora17749	protein Hydra magnipapillata
Amillepora17756	NA
Amillepora17755	NA
Amillepora17757	POTE ankyrin domain family, member
Amillepora17766	kelch-like
Amillepora17764	helicase
Amillepora17769	ankyrin repeat domain 16
Amillepora17771	Common central domain of tyrosinase
Amillepora17773	Common central domain of tyrosinase
Amillepora17767	FBOX
Amillepora17770	Ankyrin repeat domain 54
Amillepora17783	RNA methyltransferase like 1
Amillepora17780	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17792	NA
Amillepora17791	NA
Amillepora17790	piggyBac transposable element derived 4
Amillepora17795	Inherit from veNOG: Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17793	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17787	Zinc finger protein 862
Amillepora17788	piggyBac transposable element derived 4
Amillepora17797	NA
Amillepora17799	conserved hypothetical protein
Amillepora17798	NA
Amillepora17803	Transposase family tnp2
Amillepora17801	Inherit from euNOG: Retrotransposon protein
Amillepora17814	MAM domain containing 4
Amillepora17816	solute carrier family 29 (nucleoside transporters), member
Amillepora17815	selenophosphate synthetase
Amillepora17812	Solute carrier family 37 (glycerol-3-phosphate transporter), member
Amillepora17822	NA
Amillepora17819	NA
Amillepora17824	NA
Amillepora17821	NA
Amillepora17820	NA
Amillepora17825	Inherit from euNOG: Retrotransposon protein
Amillepora17827	Pao retrotransposon peptidase 
Amillepora17826	NA
Amillepora17828	g2 mitotic-specific
Amillepora17833	structural maintenance of chromosomes protein
Amillepora17835	structural maintenance of chromosomes protein
Amillepora17832	structural maintenance of chromosomes protein
Amillepora17837	Pao retrotransposon peptidase 
Amillepora17839	Pao retrotransposon peptidase 
Amillepora17829	Inherit from euNOG: solute carrier family 17
Amillepora17840	structural maintenance of chromosomes protein
Amillepora17847	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17845	NA
Amillepora17843	structural maintenance of chromosomes protein
Amillepora17852	Inherit from euNOG: solute carrier family 17
Amillepora17855	Inherit from euNOG: solute carrier family 17
Amillepora17854	Inherit from euNOG: solute carrier family 17
Amillepora17860	n-ethylmaleimide-sensitive factor
Amillepora17864	n-ethylmaleimide-sensitive factor
Amillepora17870	Helicase with zinc finger
Amillepora17865	Inherit from euNOG: Retrotransposon protein
Amillepora17868	nitrogen permease regulator-like 2 (S. cerevisiae)
Amillepora17872	NA
Amillepora17873	NA
Amillepora17882	Helicase with zinc finger
Amillepora17875	Hydra magnipapillata
Amillepora17887	Involved in vacuolar transport and vacuole pH homeostasis. Also required for cytokinesis (By similarity)
Amillepora17890	adenosylhomocysteinase
Amillepora17891	NA
Amillepora17893	DENN MADD domain containing
Amillepora17895	NA
Amillepora17894	chromosome 17 open reading frame 59
Amillepora17919	Hairy and enhancer of split
Amillepora17918	Transmembrane protein 209
Amillepora17914	NA
Amillepora17899	NA
Amillepora17906	NA
Amillepora17904	NA
Amillepora17912	NA
Amillepora17901	NA
Amillepora17909	NA
Amillepora17910	NA
Amillepora17920	3-hydroxybutyrate dehydrogenase, type 2
Amillepora17917	NA
Amillepora17905	NA
Amillepora17921	Component of oligomeric golgi complex 5
Amillepora17928	Hairy and enhancer of split
Amillepora17925	Hairy and enhancer of split
Amillepora17923	Potassium channel subfamily K member
Amillepora17927	Hairy and enhancer of split
Amillepora17932	Growth factor receptor
Amillepora17930	Hemicentin 1
Amillepora17933	Growth factor receptor
Amillepora17935	kiaa1958
Amillepora17929	PTK7 protein tyrosine kinase 7
Amillepora17939	FA58C
Amillepora17936	Fibroblast growth factor receptor
Amillepora17937	Fibroblast growth factor receptor
Amillepora17938	Fibroblast growth factor receptor
Amillepora17946	centromere protein K
Amillepora17943	PTK7 protein tyrosine kinase 7
Amillepora17944	collagen, type
Amillepora17945	HMG-box transcription factor 1
Amillepora17950	lactamase, beta-like 1
Amillepora17951	Notch ligand involved in the mediation of Notch signaling (By similarity)
Amillepora17947	DNA repair protein
Amillepora17959	NA
Amillepora17953	bcl2-like 1
Amillepora17954	POTE ankyrin domain family, member
Amillepora17957	NA
Amillepora17958	DBF4 homolog (S. cerevisiae)
Amillepora17960	Inherit from euNOG: solute carrier family 17
Amillepora17966	DNA crosslink repair
Amillepora17963	Inherit from KOG: Growth factor receptor
Amillepora17969	Dicer-like endonuclease involved in cleaving double- stranded RNA in the RNA interference (RNAi) pathway. Produces 21 to 25 bp dsRNAs (siRNAs) which target the selective destruction of homologous RNAs leading to sequence-specific suppression of gene expression, called post-transcriptional gene silencing (PTGS). Part of a broad host defense response against viral infection and transposons
Amillepora17964	Inherit from opiNOG: to reverse transcriptase
Amillepora17967	FYVE, RhoGEF and PH domain containing
Amillepora17974	Coiled-coil domain containing 9
Amillepora17975	GLutaRedoXin
Amillepora17972	Fanconi anemia complementation group d2
Amillepora17970	cysteine-rich, DPF motif domain containing 1
Amillepora17976	NA
Amillepora17990	DNA/RNA non-specific endonuclease
Amillepora17985	mitogen-activated protein kinase kinase kinase
Amillepora17994	Involved in vacuolar transport and vacuole pH homeostasis. Also required for cytokinesis (By similarity)
Amillepora17998	Cyclin-dependent kinase
Amillepora17996	ceramide
Amillepora17999	NA
Amillepora17995	Involved in vacuolar transport and vacuole pH homeostasis. Also required for cytokinesis (By similarity)
Amillepora18007	pyroglutamylated RFamide peptide receptor
Amillepora18008	mitogen-activated protein kinase kinase kinase
Amillepora18011	Tubulin, gamma complex associated protein
Amillepora18010	pyroglutamylated RFamide peptide receptor
Amillepora18012	Sortilin 1
Amillepora18013	Transmembrane protein 110
Amillepora18018	NA
Amillepora18016	NA
Amillepora18023	NA
Amillepora18022	NA
Amillepora18020	NA
Amillepora18021	NA
Amillepora18019	NA
Amillepora18029	NA
Amillepora18027	NA
Amillepora18031	protein Hydra magnipapillata
Amillepora18039	Inherit from KOG: Retrotransposon protein
Amillepora18034	mitogen-activated protein kinase kinase kinase
Amillepora18037	mitogen-activated protein kinase kinase kinase
Amillepora18035	kinase kinase kinase
Amillepora18038	NA
Amillepora18046	kinase kinase kinase
Amillepora18044	NA
Amillepora18042	protein, partial Hydra magnipapillata
Amillepora18043	mitogen-activated protein kinase kinase kinase
Amillepora18055	mitogen-activated protein kinase kinase kinase
Amillepora18051	kinase kinase kinase
Amillepora18057	NA
Amillepora18064	HEAT repeat containing 4
Amillepora18067	Arylsulfatase
Amillepora18065	Exoribonuclease 1
Amillepora18060	kinase kinase kinase
Amillepora18066	Arylsulfatase
Amillepora18068	Gamma-aminobutyric acid (GABA) A receptor
Amillepora18076	zf-AD
Amillepora18075	DDB1 and CUL4 associated factor 17
Amillepora18074	R3H domain and coiled-coil containing
Amillepora18081	ovochymase
Amillepora18072	Nuclear transcription factor Y
Amillepora18082	NA
Amillepora18078	F-box and WD repeat domain containing 11
Amillepora18077	Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases (By similarity)
Amillepora18070	chromosome X open reading frame 26
Amillepora18085	Fibroblast growth factor receptor
Amillepora18083	NA
Amillepora18087	family with sequence similarity 178, member B
Amillepora18088	NA
Amillepora18089	Pao retrotransposon peptidase 
Amillepora18099	NA
Amillepora18100	NA
Amillepora18097	Inherit from euNOG: solute carrier family 17
Amillepora18104	Allantoicase
Amillepora18107	Inherit from KOG: Growth factor receptor
Amillepora18108	Allantoicase
Amillepora18111	Allantoicase
Amillepora18106	Allantoicase
Amillepora18110	Allantoicase
Amillepora18105	Allantoicase
Amillepora18115	Inherit from opiNOG: to reverse transcriptase
Amillepora18112	NA
Amillepora18116	NA
Amillepora18119	NA
Amillepora18120	Inherit from COG: Retrotransposon protein
Amillepora18124	Regulator of G-protein signaling
Amillepora18125	Transcription elongation factor
Amillepora18122	Inherit from KOG: Growth factor receptor
Amillepora18123	Inherit from KOG: Growth factor receptor
Amillepora18133	ankyrin repeat
Amillepora18135	transmembrane protein 68
Amillepora18126	NA
Amillepora18127	solute carrier family 16, member
Amillepora18131	Eukaryotic translation elongation factor 1
Amillepora18134	Additional sex combs like 1 (Drosophila)
Amillepora18128	Histone acetyltransferase
Amillepora18137	prostaglandin G H synthase and cyclooxygenase
Amillepora18136	oxidoreductase activity, acting on peroxide as acceptor
Amillepora18139	oxidoreductase activity, acting on peroxide as acceptor
Amillepora18143	oxidoreductase activity, acting on peroxide as acceptor
Amillepora18142	prostaglandin G H synthase and cyclooxygenase
Amillepora18140	NA
Amillepora18154	myosin light chain kinase
Amillepora18150	NA
Amillepora18151	palladin, cytoskeletal associated protein
Amillepora18152	sidekick cell adhesion molecule 2
Amillepora18148	mitochondrial chaperone
Amillepora18145	prostaglandin G H synthase and cyclooxygenase
Amillepora18144	oxidoreductase activity, acting on peroxide as acceptor
Amillepora18146	oxidoreductase activity, acting on peroxide as acceptor
Amillepora18166	XK, Kell blood group complex subunit-related family, member
Amillepora18162	synthetase
Amillepora18165	XK, Kell blood group complex subunit-related family, member
Amillepora18159	FAD dependent oxidoreductase
Amillepora18157	nucleolar protein 10
Amillepora18164	ANK
Amillepora18169	serum glucocorticoid regulated kinase
Amillepora18167	PIH1 domain containing
Amillepora18168	protein kinase-like protein SgK196-like
Amillepora18172	serum glucocorticoid regulated kinase
Amillepora18179	Inherit from KOG: wd repeat
Amillepora18183	ornithine decarboxylase
Amillepora18176	integrator complex subunit 2
Amillepora18182	Meckel syndrome, type 1
Amillepora18175	tyrosine aminotransferase
Amillepora18189	GPN-loop GTPase 3
Amillepora18186	Solute carrier family 2 (Facilitated glucose transporter) member
Amillepora18190	Rieske (Fe-S) domain containing
Amillepora18188	ubiquitin-conjugating enzyme E2L
Amillepora18185	Tachykinin receptor
Amillepora18195	ATP GTP binding
Amillepora18196	NA
Amillepora18194	ATPdependent RNA helicase
Amillepora18191	ATPdependent RNA helicase
Amillepora18199	NA
Amillepora18200	NA
Amillepora18201	NA
Amillepora18198	NA
Amillepora18211	NA
Amillepora18208	NA
Amillepora18210	NA
Amillepora18205	NA
Amillepora18203	NA
Amillepora18209	NA
Amillepora18204	NA
Amillepora18207	Inherit from KOG: GON domain
Amillepora18238	NA
Amillepora18240	tumor suppressing subtransferable candidate 1
Amillepora18239	Inherit from KOG: collagen, type
Amillepora18212	Pao retrotransposon peptidase 
Amillepora18213	NA
Amillepora18242	Family with sequence similarity 49, member
Amillepora18220	NA
Amillepora18214	Inherit from KOG: collagen, type
Amillepora18219	NA
Amillepora18221	NA
Amillepora18243	biphenyl hydrolase-like (serine hydrolase
